sep=,
Steam Sales data for Jason Rohrer: 2014-01-27 - 2014-02-27

Date, Bundle(ID#),Bundle Name,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,AT,Austria,Western Europe,6,0,6,14.99,11.24,EUR,92.0950,0.0000,-12.0444,80.0506,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,AU,Australia,Oceania,111,0,111,15.99,11.99,USD,1330.8900,0.0000,0.0000,1330.8900,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,BE,Belgium,Western Europe,3,0,3,14.99,11.24,EUR,46.0500,0.0000,-6.0225,40.0275,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,BR,Brazil,Latin America,15,0,15,26.99,20.24,BRL,124.3450,0.0000,0.0000,124.3450,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,BY,Belarus,Russian Territories,1,0,1,10.99,8.24,USD,8.2400,0.0000,0.0000,8.2400,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,CA,Canada,North America,102,0,102,15.99,11.99,USD,1222.9800,0.0000,0.0000,1222.9800,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,CH,Switzerland,Western Europe,3,0,3,14.99,11.24,EUR,46.0500,0.0000,0.0000,46.0500,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,CL,Chile,Latin America,2,0,2,15.99,11.99,USD,23.9800,0.0000,0.0000,23.9800,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,CO,Colombia,Latin America,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,CZ,Czech Republic,Eastern Europe,3,0,3,14.99,11.24,EUR,46.0434,0.0000,-6.0217,40.0217,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,DE,Germany,Western Europe,79,0,79,14.99,11.24,EUR,1212.5478,0.0000,-158.5793,1053.9685,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,DK,Denmark,Western Europe,11,0,11,14.99,11.24,EUR,168.8299,0.0000,-22.0799,146.7500,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,ES,Spain,Western Europe,7,0,7,14.99,11.24,EUR,107.4500,0.0000,-14.0525,93.3975,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,FI,Finland,Western Europe,18,0,18,14.99,11.24,EUR,276.2742,0.0000,-36.1317,240.1425,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,FR,France,Western Europe,34,0,34,14.99,11.24,EUR,521.8550,0.0000,-68.2492,453.6058,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,GB,United Kingdom,Western Europe,140,0,140,12.49,9.36,GBP,2168.4335,0.0000,-282.6383,1885.7952,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,HR,Croatia,Eastern Europe,1,0,1,14.99,11.24,EUR,15.3500,0.0000,-2.0075,13.3425,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,HU,Hungary,Eastern Europe,2,0,2,14.99,11.24,EUR,30.7000,0.0000,-4.0150,26.6850,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,ID,Indonesia,South East Asia,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,IE,Ireland,Western Europe,6,0,6,14.99,11.24,EUR,92.0848,0.0000,-12.0430,80.0418,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,IL,Israel,Middle East,2,0,2,15.99,11.99,USD,23.9800,0.0000,0.0000,23.9800,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,IS,Iceland,Western Europe,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,IT,Italy,Western Europe,8,0,8,14.99,11.24,EUR,122.7941,0.0000,-16.0592,106.7349,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,JO,Jordan,Middle East,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,JP,Japan,Asia,4,0,4,15.99,11.99,USD,47.9600,0.0000,0.0000,47.9600,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,KR,Korea Republic of,Asia,23,0,23,15.99,11.99,USD,275.7700,0.0000,0.0000,275.7700,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,KZ,Kazakhstan,Russian Territories,1,0,1,10.99,8.24,USD,8.2400,0.0000,0.0000,8.2400,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,MO,Macau,Asia,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,MX,Mexico,Latin America,2,0,2,15.99,11.99,USD,23.9800,0.0000,0.0000,23.9800,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,MY,Malaysia,South East Asia,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,NL,Netherlands,Western Europe,15,0,15,14.99,11.24,EUR,230.2235,0.0000,-30.1092,200.1143,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,NO,Norway,Western Europe,16,0,16,14.99,11.24,EUR,245.5900,0.0000,0.0000,245.5900,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,NZ,New Zealand,Oceania,12,0,12,15.99,11.99,USD,143.8800,0.0000,0.0000,143.8800,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,PL,Poland,Eastern Europe,5,0,5,14.99,11.24,EUR,76.7500,0.0000,-10.0375,66.7125,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,RS,Serbia,Eastern Europe,1,0,1,14.99,11.24,EUR,15.3464,0.0000,0.0000,15.3464,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,RU,Russian Federation,Russian Territories,46,0,46,349.00,261.00,RUB,340.8513,0.0000,0.0000,340.8513,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,SA,Saudi Arabia,Middle East,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,SE,Sweden,Western Europe,29,0,29,14.99,11.24,EUR,445.1388,0.0000,-58.2161,386.9227,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,SG,Singapore,South East Asia,11,0,11,15.99,11.99,USD,131.8900,0.0000,0.0000,131.8900,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,SI,Slovenia,Eastern Europe,2,0,2,14.99,11.24,EUR,30.7000,0.0000,-4.0150,26.6850,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,TR,Turkey,Middle East,4,0,4,15.99,11.99,USD,47.9600,0.0000,0.0000,47.9600,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,UA,Ukraine,Russian Territories,2,0,2,10.99,8.24,USD,16.4800,0.0000,0.0000,16.4800,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,US,United States,North America,625,0,625,15.99,11.99,USD,7524.2800,0.0000,-30.5300,7493.7500,""
2014-01-30,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Windows,ZA,South Africa,Africa,3,0,3,15.99,11.99,USD,35.9700,0.0000,0.0000,35.9700,""
